generation,rank_1,rank_2,swapAccepted
1213000,2,4,0
1214000,1,2,1
1215000,1,4,1
1216000,1,3,1
1217000,1,2,1
1218000,1,2,1
1219000,1,2,1
1220000,2,3,1
1221000,2,4,1
1222000,2,3,1
1223000,1,3,1
1224000,2,3,1
1225000,1,4,1
1226000,1,2,1
1227000,2,4,1
1228000,3,4,0
1229000,1,4,1
1230000,1,2,1
1231000,3,4,1
1232000,3,4,1
1233000,1,3,0
1234000,2,3,1
1235000,2,3,1
1236000,3,4,1
1237000,1,3,1
1238000,2,3,1
1239000,1,4,1
1240000,2,4,1
1241000,2,4,1
1242000,1,2,1
1243000,2,4,1
1244000,2,3,1
1245000,2,4,1
1246000,2,4,1
1247000,2,4,1
1248000,1,2,1
1249000,1,2,1
1250000,1,3,1
1251000,1,3,1
1252000,1,4,1
1253000,3,4,1
1254000,1,2,1
1255000,1,2,1
1256000,3,4,1
1257000,1,3,1
1258000,1,3,1
1259000,1,4,1
1260000,3,4,1
1261000,1,3,1
1262000,2,3,1
1263000,2,3,1
1264000,2,3,0
1265000,2,3,1
1266000,1,3,1
1267000,1,3,1
1268000,1,3,1
1269000,2,4,1
1270000,1,4,1
1271000,2,3,1
1272000,1,4,0
1273000,1,4,0
1274000,1,3,1
1275000,2,3,1
1276000,3,4,1
1277000,2,3,1
1278000,3,4,1
1279000,3,4,1
1280000,1,3,1
1281000,1,3,1
1282000,1,4,1
1283000,1,3,1
1284000,1,3,1
1285000,1,3,1
1286000,2,4,1
1287000,3,4,1
1288000,1,2,1
1289000,1,4,0
1290000,1,3,1
1291000,3,4,1
1292000,1,4,1
1293000,1,2,1
1294000,2,3,1
1295000,2,4,0
1296000,2,3,1
1297000,2,3,1
1298000,2,4,0
1299000,1,3,1
1300000,1,2,1
1301000,1,4,1
1302000,2,3,1
1303000,1,3,1
1304000,1,2,1
1305000,1,2,1
1306000,1,3,1
1307000,2,3,1
1308000,1,3,1
1309000,3,4,1
1310000,2,3,1
1311000,3,4,1
1312000,1,2,1
1313000,2,4,1
1314000,3,4,1
1315000,1,4,1
1316000,2,4,1
1317000,1,2,1
1318000,1,2,0
1319000,2,4,1
1320000,3,4,1
